Species,Date,UTM_X,UTM_Y,Sex,Wing,Culmen,Mass
HAAK,2/26/2015,256487,2189608,M,63,9.3,10.1
HAAK,3/14/2014,256487,2189608,M,62,10,10.1
HAAK,5/16/2013,256487,2189608,M,NA,NA,10.1
HAAK,5/2/2013,256487,2189608,M,63,10.6,10.1
HAAK,4/2/2013,256487,2189608,M,NA,NA,10.1
HAAK,2/28/2013,256487,2189608,M,62,11.1,10.1
HAAK,3/4/2013,256487,2189608,M,NA,NA,9.7
HAAK,2/28/2013,256487,2189608,F,60,10.9,9.7
HCRE,5/2/2013,256487,2189608,M,NA,NA,14.8
HCRE,4/16/2013,256487,2189608,M,NA,NA,14.8
HAAK,4/2/2013,256487,2189608,M,NA,NA,NA
HAAK,9/27/2013,256487,2189608,M,62,10.6,NA
HAAK,3/19/2013,256487,2189608,F,62,10.8,NA
HAAK,3/28/2013,256487,2189608,F,60,10,NA
HAAK,5/25/2015,256487,2189608,M,62,11.1,10.4
HAAK,5/22/2015,256487,2189608,M,61,11,10.4
HAAK,5/7/2015,256487,2189608,M,62,10.6,10.4
HAAK,4/23/2013,256487,2189608,M,NA,NA,10.4
HAAK,3/28/2013,256487,2189608,M,61,10.5,10.4
HAAK,4/2/2013,256487,2189608,M,58,11.9,NA
HAAK,4/16/2013,256487,2189608,M,63,10.9,NA
HAAK,5/2/2013,256487,2189608,F,NA,10.5,NA
HAAK,4/16/2013,256487,2189608,M,57,11.6,NA
HAAK,4/23/2013,256487,2189608,F,59,11.9,10.6
HAAK,4/23/2013,256487,2189608,M,62,11.4,10
IIWI,2/26/2015,256487,2189608,M,82,28.2,19.1
IIWI,9/13/2014,256487,2189608,M,80,29.2,19.1
IIWI,3/23/2014,256487,2189608,M,75,28.1,19.1
IIWI,1/5/2016,256487,2189608,M,81,28.6,19.6
IIWI,3/23/2014,256487,2189608,M,75,28.3,19.6
IIWI,3/13/2015,256487,2189608,F,75,23.4,16
IIWI,4/8/2014,256487,2189608,F,75,23.6,16
IIWI,3/23/2014,256487,2189608,F,74,23.2,16
IIWI,2/23/2016,256487,2189608,M,80,27.4,19.6
IIWI,4/15/2014,256487,2189608,M,78,26.9,20.1
IIWI,9/13/2014,256487,2189608,F,73,26.4,NA
IIWI,4/29/2014,256487,2189608,M,78,27.1,21.1
IIWI,4/29/2014,256487,2189608,M,82,27.2,20.2
IIWI,5/9/2014,256487,2189608,M,78,27.5,19.8
IIWI,5/9/2014,256487,2189608,M,81,27.8,NA
IIWI,5/9/2014,256487,2189608,M,80,27.9,17.6
IIWI,4/22/2016,256487,2189608,M,80,27.1,NA
IIWI,4/24/2015,256487,2189608,M,81,26.4,NA
IIWI,5/11/2014,256487,2189608,M,81,26.7,NA
IIWI,5/11/2014,256487,2189608,F,82,27.1,17.2
IIWI,5/11/2014,256487,2189608,M,82,27.9,20.2
IIWI,5/19/2014,256487,2189608,M,84,27.8,18.9
IIWI,5/19/2014,256487,2189608,M,78,27.7,20
IIWI,5/23/2014,256487,2189608,M,80,27.6,19.9
IIWI,5/23/2014,256487,2189608,F,73,24.7,16.3
IIWI,5/23/2014,256487,2189608,M,80,27.6,20.4
IIWI,5/23/2014,256487,2189608,F,75,24,15.9
IIWI,5/23/2014,256487,2189608,F,75,26.1,16.6
IIWI,5/7/2015,256487,2189608,M,80,27.1,20.7
IIWI,3/29/2015,256487,2189608,M,78,28.1,20.7
IIWI,2/26/2015,256487,2189608,M,79,27.5,20.7
IIWI,5/20/2016,256487,2189608,M,81,27.8,17.7
IIWI,2/23/2016,256487,2189608,M,81,27.5,17.7
IIWI,4/29/2015,256487,2189608,M,81,28,17.7
IIWI,8/29/2014,256487,2189608,M,79,29.5,17.7
APAP,2/26/2016,256487,2189608,M,78,18.5,NA
IIWI,3/1/2016,256487,2189608,M,80,27.5,20.3
IIWI,1/14/2016,256487,2189608,M,80,27.1,20.3
IIWI,3/25/2015,256487,2189608,F,76,27.6,20.3
IIWI,3/16/2015,256487,2189608,M,75,27.8,20.3
IIWI,3/13/2015,256487,2189608,F,67,23.9,NA
IIWI,9/13/2014,256487,2189608,F,79,24.9,NA
IIWI,10/11/2014,256487,2189608,F,71,25.7,NA
IIWI,10/1/2015,256487,2189608,F,77,25.6,19.1
IIWI,4/13/2015,256487,2189608,F,78,24.9,19.1
IIWI,3/16/2015,256487,2189608,F,76,25.9,19.1
IIWI,10/11/2014,256487,2189608,F,75,25,19.1
APAP,11/14/2014,256487,2189608,M,72,17.7,NA
IIWI,3/13/2015,256487,2189608,M,84,28.6,19.9
IIWI,1/22/2015,256487,2189608,M,81,25.9,19.9
IIWI,1/22/2015,256487,2189608,F,75,23.7,18.5
IIWI,1/22/2015,256487,2189608,M,79,26.6,NA
IIWI,3/8/2016,256487,2189608,M,80,27.2,18.4
IIWI,1/5/2016,256487,2189608,M,82,27.4,18.4
IIWI,3/13/2015,256487,2189608,M,82,27.4,18.4
IIWI,2/26/2015,256487,2189608,M,78,27.4,18.4
IIWI,1/22/2015,256487,2189608,M,82,26.7,18.4
IIWI,4/13/2015,256487,2189608,F,74,27.6,NA
IIWI,6/21/2016,256487,2189608,F,79,25.5,13.4
IIWI,1/22/2015,256487,2189608,F,76,25.7,13.4
IIWI,2/19/2015,256487,2189608,F,75,24.3,NA
IIWI,2/19/2015,256487,2189608,M,78,28,NA
IIWI,2/19/2015,256487,2189608,M,84,27.9,NA
IIWI,5/19/2016,256487,2189608,F,79,26.2,15.7
IIWI,3/15/2016,256487,2189608,F,79,26.4,15.7
IIWI,5/21/2015,256487,2189608,F,79,27.5,15.7
IIWI,2/19/2015,256487,2189608,M,75,25.3,16
IIWI,4/24/2015,256487,2189608,M,77,26.2,19.3
IIWI,2/19/2015,256487,2189608,M,78,27.7,19.3
IIWI,2/19/2015,256487,2189608,M,76,27.5,20
IIWI,3/13/2015,256487,2189608,M,82,31,NA
IIWI,2/19/2015,256487,2189608,M,80,27.4,NA
HAAK,5/2/2013,256487,2189608,F,62,10.4,10.7
HAAK,5/25/2015,256487,2189608,M,63,11.6,11.3
HAAK,5/16/2013,256487,2189608,M,64,11.3,11.3
HAAK,11/15/2013,256487,2189608,F,60,11.9,NA
HAAK,1/23/2014,256487,2189608,F,59,10,NA
HAAK,1/14/2016,256487,2189608,F,60,8.6,10.2
HAAK,6/6/2014,256487,2189608,F,59,9.9,10.2
HAAK,4/29/2014,256487,2189608,F,57,10.6,10.2
HAAK,1/23/2014,256487,2189608,F,57,10.6,10.2
HAAK,2/11/2014,256487,2189608,M,60,11.4,NA
HAAK,1/23/2014,256487,2189608,M,62,10.9,NA
HAAK,5/19/2014,256487,2189608,M,59,11.5,10.5
HAAK,3/4/2014,256487,2189608,F,59,11.4,10.5
IIWI,2/23/2016,256487,2189608,M,79,28.1,18.4
IIWI,2/23/2016,256487,2189608,M,82,28.4,NA
IIWI,3/1/2016,256487,2189608,M,81,27.7,20.5
IIWI,3/1/2016,256487,2189608,F,77,25,17.3
IIWI,3/10/2016,256487,2189608,M,81,27.7,20.4
IIWI,3/15/2016,256487,2189608,M,80,28.5,18.3
IIWI,3/19/2016,256487,2189608,F,74,25.3,NA
APAP,4/22/2016,256487,2189608,F,67,16.3,13.6
IIWI,4/24/2016,256487,2189608,M,80,27.7,NA
IIWI,4/25/2016,256487,2189608,M,82,28.3,NA
IIWI,4/25/2016,256487,2189608,M,77,26.9,19.1
IIWI,4/25/2016,256487,2189608,F,73,25.2,NA
IIWI,5/4/2016,256487,2189608,F,72,26.1,NA
IIWI,5/5/2016,256487,2189608,F,75,24.7,15.8
IIWI,5/5/2016,256487,2189608,M,80,26.3,NA
IIWI,5/10/2016,256487,2189608,M,81,29.1,19.5
IIWI,5/10/2016,256487,2189608,M,82,26.3,18.3
IIWI,5/10/2016,256487,2189608,M,78,27.8,NA
IIWI,5/10/2016,256487,2189608,F,76,25.2,16.1
IIWI,5/10/2016,256487,2189608,F,78,24.5,17
IIWI,5/10/2016,256487,2189608,F,73,25.1,16.4
IIWI,5/22/2016,256487,2189608,F,75,25.1,16.1
IIWI,6/13/2016,256487,2189608,M,82,28.1,NA
IIWI,6/13/2016,256487,2189608,M,83,28.2,NA
APAP,5/16/2016,256487,2189608,F,65,17.3,13.2
APAP,5/20/2016,256487,2189608,F,65,16,12.8
HAAM,5/22/2016,256487,2189608,F,63,14.2,12.6
APAP,5/22/2016,256487,2189608,F,71,16,NA
HAEL,6/3/2016,256487,2189608,F,69,13.2,NA
HAAM,6/20/2016,256487,2189608,F,66,14.7,NA
HCRE,6/20/2016,256487,2189608,M,66,15.1,NA
HAAM,6/24/2016,256487,2189608,F,64,13.5,12.6
HAAK,5/11/2014,256487,2189608,F,52,10.1,11.6
HAAK,5/21/2015,256487,2189608,F,60,11.4,NA
HAAK,5/19/2014,256487,2189608,F,57,9.5,9.7
HAAK,6/6/2014,256487,2189608,M,60,10.4,12
HAAK,6/6/2014,256487,2189608,M,64,10.1,NA
HAAK,3/15/2016,256487,2189608,M,62,11.8,10
HAAK,5/21/2015,256487,2189608,M,61,11.8,10
HAAK,4/24/2015,256487,2189608,M,61,11.3,10
HAAK,3/25/2015,256487,2189608,M,62,11.5,10
HAAK,2/26/2015,256487,2189608,M,62,11.3,10
HAAK,8/29/2014,256487,2189608,M,62,11.5,10
HAAK,10/11/2014,256487,2189608,M,63,10.7,NA
HAAK,3/1/2015,256487,2189608,F,58,10.7,NA
HAAK,3/26/2016,256487,2189608,M,59,11.7,9.9
HAAK,10/7/2015,256487,2189608,M,60,10.5,9.9
HAAK,4/9/2015,256487,2189608,M,60,10,9.9
HAAK,3/29/2015,256487,2189608,M,61,9.9,9.9
HAAK,10/11/2014,256487,2189608,M,61,9.7,9.9
HAAK,4/8/2014,256487,2189608,M,60,10.8,9.9
HAAK,5/11/2014,256487,2189608,F,57,11.1,NA
HAAK,5/5/2016,256487,2189608,F,60,11.3,NA
HAAK,5/10/2016,256487,2189608,M,63,12.3,NA
HAAK,5/16/2016,256487,2189608,M,61,11.8,NA
HAAK,6/20/2016,256487,2189608,F,61,11.5,NA
HCRE,28-Jan-20,256487,2189608,F,64,13.3,14
IIWI,13-May-19,256487,2189608,F,76,26.4,NA
HAAM,13-May-19,256487,2189608,M,68,13.7,13.4
HAAM,14-May-19,256487,2189608,M,65,14,12.6
HAAM,24-Oct-19,256487,2189608,M,66,14.5,12.6
HAAM,14-May-19,256487,2189608,M,67,15,13.6
HAAM,15-May-19,256487,2189608,M,65,16,13.6
HAAM,16-May-19,256487,2189608,M,65,14.9,13.6
HAAM,16-Jan-20,256487,2189608,M,NA,NA,13.6
HAAM,14-May-19,256487,2189608,F,64,14.7,13.5
HAAM,28-Jan-20,256487,2189608,M,65,14.4,NA
HAEL,15-May-19,256487,2189608,M,77,12.9,16.3
HAEL,15-May-19,256487,2189608,F,71,13,13.6
HAAM,15-May-19,256487,2189608,M,66,15.6,13.4
HAAM,15-May-19,256487,2189608,F,63,13.1,16.2
HAAM,16-May-19,256487,2189608,F,61,13.2,13.3
HCRE,16-May-19,256487,2189608,F,65,13.9,15.5
HCRE,28-Jan-20,256487,2189608,F,68,12.5,15.5
HAAM,15-May-19,256487,2189608,M,67,17.3,14.1
IIWI,14-May-19,256487,2189608,M,83,28.6,18.6
HAAK,16-May-19,256487,2189608,M,62,11.1,10.9
HCRE,14-Jan-20,256487,2189608,F,64,13.7,14.2
HAEL,14-Jan-20,256487,2189608,F,74,12.7,NA
HAAM,16-Jan-20,256487,2189608,M,67,15.6,NA
HAAM,17-Jan-20,256487,2189608,F,65,14.2,NA
IIWI,17-Jan-20,256487,2189608,F,73,25.2,NA
HAEL,17-Jan-20,256487,2189608,F,77,13.4,15.6
HAAM,17-Jan-20,256487,2189608,M,68,14.1,NA
APAP,28-Jan-20,256487,2189608,F,70,16.1,15.8
HAEL,24-Oct-19,256487,2189608,M,75,11.1,15
HAAM,24-Oct-19,256487,2189608,M,67,14.6,NA
HAAM,24-Oct-19,256487,2189608,M,65,15.3,NA
HAAM,14-Jan-20,256487,2189608,M,64,14.9,NA
HAAM,17-Jan-20,256487,2189608,M,65,15.1,NA
HAAM,28-Jan-20,256487,2189608,M,66,15,NA
HAAM,24-Oct-19,256487,2189608,M,66,15.6,NA
HAAM,24-Oct-19,256487,2189608,M,66,14.9,NA
HAAM,28-Jan-20,256487,2189608,M,66,15.4,NA
HAAM,28-Jan-20,256487,2189608,M,65,14.8,NA
APAP,29-Jan-20,256487,2189608,M,75,17.2,NA
HAAM,29-Jan-20,256487,2189608,M,64,16.4,NA
HCRE,16-Jan-20,256487,2189608,F,65,15.3,15.3
HAAM,16-Jan-20,256487,2189608,M,68,16,12.8
HCRE,14-May-19,256487,2189608,M,67,13.9,14.5
OMAO,14-May-19,256487,2189608,M,106,16.5,NA
OMAO,16-Jan-20,256487,2189608,F,98,14.4,56.6
OMAO,16-Jan-20,256487,2189608,F,101,16.6,53.9
OMAO,28-Jan-20,256487,2189608,F,NA,16.4,46.4
AKIA,28-Jan-20,256487,2189608,M,84,25.8,30.8
IIWI,16-May-19,256487,2189608,M,85,28.5,18.8
IIWI,15-May-19,256487,2189608,F,77,26,16.1
IIWI,14-Jan-20,256487,2189608,M,86,25.1,NA
IIWI,16-Jan-20,256487,2189608,M,85,27.5,NA
IIWI,16-Jan-20,256487,2189608,M,83,28.7,NA
IIWI,17-Jan-20,256487,2189608,M,82,28.4,NA
IIWI,17-Jan-20,256487,2189608,M,80,28.1,NA
IIWI,17-Jan-20,256487,2189608,F,72,24,NA
IIWI,17-Jan-20,256487,2189608,M,82,29.4,NA
IIWI,28-Jan-20,256487,2189608,M,84,29.3,NA
IIWI,24-Oct-19,256487,2189608,M,79,29.6,NA
IIWI,24-Oct-19,256487,2189608,F,73,26.7,NA
IIWI,28-Jan-20,256487,2189608,M,81,28.4,NA
HAAM,16-May-19,256487,2189608,M,67,14.4,14.4
IIWI,16-May-19,256487,2189608,F,78,25.1,21
HAEL,16-May-19,256487,2189608,F,72,12.4,13.7
HAAM,16-May-19,256487,2189608,M,65,16.1,13.4
IIWI,16-May-19,256487,2189608,F,71,24.3,15.5
IIWI,13-May-19,256487,2189608,M,83,29.7,21.8
IIWI,14-May-19,256487,2189608,M,80,27.8,NA
APAP,15-May-19,256487,2189608,M,74,16.9,17.3
IIWI,16-May-19,256487,2189608,M,83,28.2,NA
IIWI,16-May-19,256487,2189608,F,78,26.1,15.3
IIWI,16-May-19,256487,2189608,M,79,27.8,NA
IIWI,14-May-19,256487,2189608,M,80,27.8,NA
HAEL,27-Apr-20,258282,2151096,F,71,11.5,13.5
HAEL,28-Apr-20,258282,2151096,M,76,12.9,15.5
APAP,28-Apr-20,258282,2151096,M,79,18.4,NA
HAEL,28-Apr-20,258282,2151096,F,69,13.7,14.7
APAP,29-Apr-20,258282,2151096,M,75,17.4,NA
APAP,29-Apr-20,258282,2151096,M,75,18.2,NA
APAP,29-Apr-20,258282,2151096,M,75,17.8,NA
AKIA,3/17/2016,258367,2194603,M,81,27.4,28.1
AKIA,3/30/2015,258367,2194603,M,81,26.1,28.1
AKIA,6/27/2013,258367,2194603,M,86,24,28.1
AKIA,3/2/2012,258367,2194603,M,NA,24.3,28.1
OMAO,2/21/2013,258367,2194603,M,98,17.3,47.4
OMAO,4/9/2013,258367,2194603,M,105,15.2,47.9
OMAO,4/12/2015,258367,2194603,M,95,15.9,44.3
OMAO,2/25/2015,258367,2194603,M,94,17.2,44.3
IIWI,2/26/2013,258367,2194603,M,85,27.2,17.3
IIWI,3/2/2012,258367,2194603,M,84,NA,17.3
IIWI,2/14/2012,258367,2194603,M,85,27.2,17.3
IIWI,4/16/2014,258367,2194603,M,83,18.6,19.9
IIWI,2/14/2012,258367,2194603,M,83,27.3,19.9
HAEL,2/28/2012,258367,2194603,M,71,11.1,NA
HAEL,5/3/2014,258367,2194603,F,76,13.1,NA
HAEL,2/28/2012,258367,2194603,F,75,10,NA
APAP,4/14/2012,258367,2194603,M,76,NA,13.6
APAP,2/28/2012,258367,2194603,M,75,16.2,13.6
HAAM,2/28/2012,258367,2194603,M,63,13.5,14.1
HAEL,5/17/2016,258367,2194603,M,76,12.9,16.4
HAEL,5/8/2016,258367,2194603,M,76,12.9,16.4
HAEL,5/19/2015,258367,2194603,M,76,12.9,16.4
HAEL,2/20/2015,258367,2194603,M,76,12.5,16.4
HAEL,2/13/2014,258367,2194603,M,76,13.3,16.4
HAEL,3/14/2013,258367,2194603,M,75,12.7,16.4
HAEL,2/28/2012,258367,2194603,M,75,10.6,16.4
HAAM,6/5/2013,258367,2194603,F,NA,NA,16.6
HAAM,3/31/2013,258367,2194603,F,59,13.9,16.6
HAAM,2/28/2012,258367,2194603,M,65,12.7,16.6
IIWI,3/2/2012,258367,2194603,M,82,28.3,19.7
HAEL,3/2/2012,258367,2194603,M,67,10.7,NA
HAEL,5/3/2016,258367,2194603,F,70,14.3,14.5
HAEL,4/27/2015,258367,2194603,F,70,14,14.5
HAEL,4/16/2014,258367,2194603,F,72,13,14.5
HAEL,3/9/2014,258367,2194603,F,71,14.2,14.5
HAEL,3/29/2013,258367,2194603,F,71,13.2,14.5
HAEL,3/2/2012,258367,2194603,M,67,10.2,14.5
HAAM,3/17/2016,258367,2194603,M,66,15.3,13.7
HAAM,5/3/2014,258367,2194603,M,62,14.8,13.7
HAAM,4/3/2014,258367,2194603,M,65,15.3,13.7
HAEL,4/27/2015,258367,2194603,M,76,12.7,NA
HAEL,3/2/2012,258367,2194603,M,78,10.5,NA
HAAM,3/13/2012,258367,2194603,M,65,12.5,13.1
IIWI,3/13/2012,258367,2194603,F,72,23.3,18
APAP,3/13/2012,258367,2194603,F,71,13.4,13.2
HAAM,3/13/2012,258367,2194603,M,NA,NA,NA
APAP,5/22/2013,258367,2194603,F,72,16.9,16.6
APAP,3/19/2012,258367,2194603,F,72,14.3,16.6
HAAM,3/19/2012,258367,2194603,M,NA,13.1,14.6
IIWI,3/20/2012,258367,2194603,M,76,25.1,18.8
HCRE,3/17/2015,258367,2194603,F,65,13.3,14.7
HCRE,3/10/2015,258367,2194603,F,66,12.2,14.7
HCRE,2/13/2014,258367,2194603,F,64,13.6,14.7
HCRE,6/20/2013,258367,2194603,F,NA,NA,14.7
HCRE,2/25/2013,258367,2194603,F,65,13.1,14.7
HCRE,3/20/2012,258367,2194603,F,65,11.5,14.7
IIWI,3/20/2012,258367,2194603,M,82,25.8,NA
HAAM,5/23/2016,258367,2194603,F,64,14,13.8
HAAM,3/14/2015,258367,2194603,F,62,13.6,13.8
HAAM,4/7/2014,258367,2194603,F,NA,NA,13.8
HAAM,3/20/2012,258367,2194603,F,64,12.5,13.8
HAAM,2/26/2013,258367,2194603,M,67,14,12.7
HAAM,3/20/2012,258367,2194603,M,NA,13.5,12.7
HAAM,5/7/2016,258367,2194603,M,65,14.8,13.5
HAAM,4/5/2016,258367,2194603,M,60,15,13.5
HAAM,3/29/2016,258367,2194603,M,66,14.6,13.5
HAAM,2/15/2016,258367,2194603,M,65,14.9,13.5
HAAM,4/12/2015,258367,2194603,M,65,14.8,13.5
HAAM,3/30/2015,258367,2194603,M,65,13.6,13.5
HAAM,3/10/2015,258367,2194603,M,66,14.8,13.5
HAAM,2/28/2015,258367,2194603,M,66,14.5,13.5
HAAM,5/12/2014,258367,2194603,M,63,13.9,13.5
HAAM,3/19/2014,258367,2194603,M,65,14.3,13.5
HAAM,2/13/2014,258367,2194603,M,65,15.8,13.5
HAAM,3/29/2013,258367,2194603,M,NA,NA,13.5
HAAM,3/14/2013,258367,2194603,M,NA,NA,13.5
HAAM,2/27/2013,258367,2194603,M,64,14.2,13.5
HAAM,3/21/2012,258367,2194603,M,66,13.5,13.5
APAP,3/29/2012,258367,2194603,M,75,16.5,15.9
IIWI,4/16/2012,258367,2194603,M,82,NA,19.5
IIWI,3/29/2012,258367,2194603,M,82,27.6,19.5
APAP,3/29/2012,258367,2194603,M,76,18.6,NA
HAAM,3/29/2012,258367,2194603,F,62,13.4,11.6
HAAM,4/14/2012,258367,2194603,F,66,13.3,14.6
APAP,4/16/2012,258367,2194603,F,70,16.3,15.2
HAAM,4/16/2012,258367,2194603,M,61,12.6,13
IIWI,4/16/2012,258367,2194603,F,NA,NA,NA
APAP,3/27/2015,258367,2194603,M,74,17.6,15.3
HAAM,3/29/2016,258367,2194603,M,63,14.7,13.5
HAAM,4/27/2015,258367,2194603,M,61,14.4,13.5
HAAM,3/27/2015,258367,2194603,M,62,14.6,13.5
HAAM,3/27/2015,258367,2194603,M,64,14.8,NA
HAAM,3/27/2015,258367,2194603,M,64,14.6,NA
HAAM,3/27/2015,258367,2194603,F,63,12.8,14.4
APAP,3/27/2015,258367,2194603,M,74,17,15
APAP,3/30/2015,258367,2194603,M,71,17.2,16
APAP,3/17/2016,258367,2194603,F,NA,NA,NA
APAP,2/15/2016,258367,2194603,M,76,17.7,NA
APAP,3/30/2015,258367,2194603,M,75,17.6,NA
HAAM,3/17/2016,258367,2194603,F,63,14,12.2
HAAM,3/30/2015,258367,2194603,F,61,13.6,12.2
APAP,4/26/2016,258367,2194603,M,76,16,14.8
APAP,3/30/2015,258367,2194603,F,70,16,NA
HAAM,3/30/2015,258367,2194603,M,63,15.5,NA
APAP,4/12/2015,258367,2194603,M,78,17.8,14.7
APAP,4/12/2015,258367,2194603,F,67,13.5,11.9
HAAM,4/23/2015,258367,2194603,F,61,13.2,14.9
HAAM,4/23/2015,258367,2194603,F,64,13.4,14.2
APAP,4/23/2015,258367,2194603,M,72,16.4,15.2
HCRE,4/27/2015,258367,2194603,M,69,12.9,NA
HAEL,3/23/2016,258367,2194603,M,75,12.2,NA
HAEL,4/27/2015,258367,2194603,M,74,12,NA
HAEL,4/27/2015,258367,2194603,F,67,13,NA
HAAM,2/25/2016,258367,2194603,M,66,14.5,13
HAAM,4/27/2015,258367,2194603,M,63,15,13
HCRE,4/27/2015,258367,2194603,M,67,13.2,NA
APAP,4/27/2015,258367,2194603,M,71,17.6,13.9
HAEL,5/5/2015,258367,2194603,F,69,11.6,NA
HCRE,6/18/2015,258367,2194603,M,65,14.1,NA
HCRE,5/11/2015,258367,2194603,M,65,13.3,NA
HCRE,5/5/2015,258367,2194603,M,66,13.5,NA
HAAM,5/5/2015,258367,2194603,M,67,14.6,13.5
HCRE,5/8/2016,258367,2194603,F,66,14.6,17.1
HCRE,5/5/2015,258367,2194603,F,64,14,17.1
HAAM,5/5/2015,258367,2194603,M,65,15.8,13.4
IIWI,3/27/2015,258367,2194603,M,80,28.1,18.7
IIWI,3/30/2015,258367,2194603,M,78,27.4,NA
IIWI,3/30/2015,258367,2194603,F,76,27.4,15.5
IIWI,4/12/2015,258367,2194603,M,75,26.5,19.3
IIWI,4/12/2015,258367,2194603,F,79,24.3,17
IIWI,4/23/2015,258367,2194603,F,72,25.8,16.4
IIWI,4/27/2015,258367,2194603,F,78,24.5,15.8
IIWI,4/27/2015,258367,2194603,M,83,30.2,20.9
OMAO,3/13/2013,258367,2194603,M,104,17,49.9
OMAO,3/13/2013,258367,2194603,M,99,15,48.8
OMAO,4/29/2013,258367,2194603,F,NA,NA,55
OMAO,4/11/2013,258367,2194603,M,97,16.1,47.8
OMAO,4/16/2014,258367,2194603,M,102,15.6,46.6
OMAO,4/29/2013,258367,2194603,M,104,16,46.6
OMAO,3/9/2014,258367,2194603,M,96,16.8,49.9
OMAO,5/12/2014,258367,2194603,M,98,15.9,47.3
OMAO,4/16/2014,258367,2194603,M,98,15.8,47.3
OMAO,3/19/2014,258367,2194603,M,96,15.5,47.3
HAAM,2/21/2013,258367,2194603,F,61,12.5,NA
HAAM,2/25/2013,258367,2194603,M,68,14.7,NA
APAP,2/26/2013,258367,2194603,M,71,15.2,12.1
HCRE,2/28/2016,258367,2194603,M,66,13.8,14.6
HCRE,4/27/2015,258367,2194603,M,66,14,14.6
HCRE,5/3/2014,258367,2194603,M,64,13,14.6
HCRE,4/29/2013,258367,2194603,M,NA,NA,14.6
HCRE,2/26/2013,258367,2194603,M,65,12.4,14.6
HAAM,4/29/2013,258367,2194603,F,NA,NA,14.5
HAAM,3/13/2013,258367,2194603,F,NA,NA,14.5
HAAM,2/26/2013,258367,2194603,M,64,13.3,14.5
HAAM,2/15/2016,258367,2194603,M,66,15.5,12.5
HAAM,5/12/2014,258367,2194603,M,64,15,12.5
HAAM,4/16/2014,258367,2194603,M,64,14.6,12.5
HAAM,3/5/2014,258367,2194603,M,65,15.7,12.5
HAAM,3/29/2013,258367,2194603,M,NA,NA,12.5
HAAM,2/26/2013,258367,2194603,M,63,15.3,12.5
HAAM,2/26/2013,258367,2194603,M,63,13.4,NA
HAAM,2/26/2013,258367,2194603,F,60,13,NA
HAAM,2/26/2013,258367,2194603,M,67,14,13.3
HAAM,2/26/2013,258367,2194603,M,68,13.6,13.7
HAAM,2/27/2013,258367,2194603,F,61,13.5,NA
HAAM,2/28/2015,258367,2194603,F,64,13.9,13.5
HAAM,2/28/2015,258367,2194603,F,65,14.6,14.8
HAAM,2/28/2015,258367,2194603,M,64,15.1,NA
APAP,2/28/2015,258367,2194603,M,79,17.2,15
HAAM,3/10/2015,258367,2194603,M,66,14.2,13.5
HAAM,3/10/2015,258367,2194603,F,63,12.8,NA
APAP,3/10/2015,258367,2194603,F,68,15.5,12.3
HAAM,3/10/2015,258367,2194603,M,62,15.1,13
APAP,3/10/2015,258367,2194603,F,70,16.8,13
HAAM,3/10/2015,258367,2194603,M,64,15,NA
HAAM,3/14/2015,258367,2194603,F,62,12.4,12
HAAM,3/14/2015,258367,2194603,F,68,13.3,12
HCRE,3/14/2015,258367,2194603,F,64,13.5,15.3
HAAM,3/14/2015,258367,2194603,F,63,14.7,13.8
APAP,3/30/2015,258367,2194603,M,68,16.3,14.3
HAAM,3/14/2015,258367,2194603,M,65,14.8,NA
HAAM,3/14/2015,258367,2194603,M,64,13.5,12.5
HAAM,3/14/2015,258367,2194603,M,64,14,NA
HAAM,3/14/2015,258367,2194603,M,66,15.8,13.4
APAP,3/14/2015,258367,2194603,M,75,17.6,15.7
APAP,3/14/2015,258367,2194603,F,72,18,12.7
APAP,3/14/2015,258367,2194603,F,70,17.4,14.3
HCRE,3/23/2016,258367,2194603,F,63,14.6,15.1
HAAM,3/14/2015,258367,2194603,F,63,13.5,13.7
HAAM,3/14/2015,258367,2194603,M,64,14.9,13.1
HCRE,3/14/2015,258367,2194603,F,63,13.7,15.6
APAP,3/17/2015,258367,2194603,F,65,16.7,17.8
APAP,3/17/2015,258367,2194603,M,76,17.1,15.5
APAP,3/17/2015,258367,2194603,M,75,18.2,16.3
APAP,3/17/2015,258367,2194603,M,77,16.9,15.2
APAP,3/17/2015,258367,2194603,M,76,18.3,16.2
HAAM,3/2/2012,258367,2194603,M,60,NA,13
HAAM,2/14/2012,258367,2194603,M,62,12.2,13
HAAM,3/17/2016,258367,2194603,M,67,15.6,15.2
HAAM,3/10/2015,258367,2194603,M,64,13.5,15.2
HAAM,3/19/2014,258367,2194603,M,66,14.4,15.2
HAAM,5/22/2013,258367,2194603,M,NA,NA,15.2
HAAM,3/26/2013,258367,2194603,M,66,15.4,15.2
HAAM,3/20/2012,258367,2194603,M,65,NA,15.2
HAAM,3/2/2012,258367,2194603,M,65,NA,15.2
HAAM,2/14/2012,258367,2194603,M,67,14.3,15.2
HAEL,6/27/2013,258367,2194603,M,69,12.3,NA
HAAM,3/23/2016,258367,2194603,F,61,14.4,12.3
HAAM,3/17/2016,258367,2194603,F,61,13.2,12.3
HAAM,5/11/2015,258367,2194603,F,60,13,12.3
HAAM,3/10/2015,258367,2194603,F,61,13.9,12.3
HAAM,4/16/2014,258367,2194603,F,60,12.2,12.3
HAAM,3/22/2014,258367,2194603,F,60,12.6,12.3
